photon energy (eV),n,k
4.54,1.72043,1.45021
4.55,1.72035,1.45021
4.56,1.72035,1.45021
4.57,1.72045,1.45021
4.58,1.72048,1.45021
4.59,1.72009,1.45021
4.6,1.72076,1.45021
4.61,1.70642,1.45021
4.62,1.70044,1.45021
4.63,1.70103,1.45021
4.64,1.70107,1.45021
4.65,1.70095,1.45021
4.66,1.70098,1.45021
4.67,1.701,1.45021
4.68,1.70092,1.45021
4.69,1.701,1.45021
4.7,1.70126,1.45021
4.71,1.6988,1.45021
4.72,1.69123,1.45021
4.73,1.68365,1.45021
4.74,1.68129,1.45021
4.75,1.68149,1.45021
4.76,1.68165,1.45021
4.77,1.68165,1.45021
4.78,1.68138,1.4502
4.79,1.6815,1.45021
4.8,1.67418,1.45022
4.81,1.6678,1.45021
4.82,1.66182,1.4502
4.83,1.66233,1.45022
4.84,1.66209,1.45022
4.85,1.66214,1.45019
4.86,1.66224,1.4502
4.87,1.66185,1.45025
4.88,1.66257,1.45021
4.89,1.64859,1.45014
4.9,1.64215,1.45024
4.91,1.64277,1.45035
4.92,1.64283,1.45004
4.93,1.64271,1.44974
4.94,1.64263,1.45197
4.95,1.64271,1.42955
4.96,1.64308,1.39876
4.97,1.6399,1.40118
4.98,1.6326,1.40037
4.99,1.62482,1.40025
5,1.62313,1.40046
5.01,1.62325,1.40048
5.02,1.62337,1.40038
5.03,1.62326,1.4004
5.04,1.62333,1.40045
5.05,1.62356,1.40042
5.06,1.62136,1.4004
5.07,1.6137,1.40042
5.08,1.60618,1.40043
5.09,1.60359,1.40041
5.1,1.60387,1.40041
5.11,1.60396,1.40043
5.12,1.60389,1.40042
5.13,1.60385,1.40041
5.14,1.60387,1.40042
5.15,1.60407,1.40042
5.16,1.60058,1.40042
5.17,1.58733,1.40042
5.18,1.58433,1.40042
5.19,1.58449,1.40042
5.2,1.58449,1.40042
5.21,1.58447,1.40042
5.22,1.58445,1.40042
5.23,1.58447,1.40042
5.24,1.58454,1.40042
5.25,1.58439,1.40042
5.26,1.58432,1.40042
5.27,1.57629,1.40042
5.28,1.57461,1.40042
5.29,1.57473,1.40042
5.3,1.5748,1.40042
5.31,1.57475,1.40042
5.32,1.57476,1.40041
5.33,1.57478,1.40042
5.34,1.57471,1.40043
5.35,1.5747,1.40042
5.36,1.57509,1.40041
5.37,1.57138,1.40043
5.38,1.56476,1.40042
5.39,1.56522,1.4004
5.4,1.56503,1.40042
5.41,1.56498,1.40044
5.42,1.56506,1.40041
5.43,1.56512,1.40039
5.44,1.56502,1.40046
5.45,1.56493,1.40045
5.46,1.56517,1.40033
5.47,1.56563,1.40039
5.48,1.56178,1.40072
5.49,1.55723,1.40028
5.5,1.55557,1.3992
