photon energy (eV),n,k
4.06,1.95779,1.95757
4.07,1.95355,1.95757
4.08,1.95143,1.95755
4.09,1.94654,1.95752
4.1,1.94137,1.9575
4.11,1.94164,1.95751
4.12,1.93795,1.95753
4.13,1.93352,1.95756
4.14,1.92926,1.95758
4.15,1.92507,1.95758
4.16,1.91637,1.95755
4.17,1.91706,1.95751
4.18,1.91212,1.95748
4.19,1.90746,1.95747
4.2,1.90327,1.95751
4.21,1.89478,1.95758
4.22,1.89047,1.95767
4.23,1.88555,1.95775
4.24,1.88056,1.95777
4.25,1.87564,1.95757
4.26,1.87094,1.95532
4.27,1.86676,1.99296
4.28,1.85832,2.03718
4.29,1.85394,2.06167
4.3,1.8489,2.06067
4.31,1.84415,2.0602
4.32,1.83431,2.06001
4.33,1.82825,2.05993
4.34,1.82407,2.05992
4.35,1.81572,2.05996
4.36,1.81134,2.06002
4.37,1.80635,2.06007
4.38,1.80135,2.06009
4.39,1.79645,2.06008
4.4,1.79178,2.06004
4.41,1.78784,2.06
4.42,1.77579,2.05998
4.43,1.7685,2.05999
4.44,1.76369,2.06002
4.45,1.75873,2.06006
4.46,1.75385,2.06009
4.47,1.74919,2.06009
4.48,1.74501,2.06005
4.49,1.73675,2.05999
4.5,1.73076,2.05994
4.51,1.72105,2.05992
4.52,1.72208,2.05996
4.53,1.71283,2.06008
4.54,1.70651,2.06036
4.55,1.70232,2.06095
4.56,1.69411,2.06171
4.57,1.68953,2.0226
4.58,1.68446,1.95394
4.59,1.67951,1.95717
4.6,1.67486,1.95769
4.61,1.66764,1.95775
4.62,1.65954,1.95771
4.63,1.65165,1.95763
4.64,1.64569,1.95754
4.65,1.63559,1.95749
4.66,1.63084,1.95747
4.67,1.62595,1.95749
4.68,1.62135,1.95753
4.69,1.61712,1.95757
4.7,1.60903,1.95759
4.71,1.60312,1.95758
4.72,1.59295,1.95755
4.73,1.58822,1.95751
4.74,1.58338,1.95749
4.75,1.57874,1.9575
4.76,1.57379,1.95753
4.77,1.56037,1.95756
4.78,1.55557,1.95758
4.79,1.55032,1.95758
4.8,1.54566,1.95755
4.81,1.53675,1.95751
4.82,1.52989,1.95749
4.83,1.52565,1.9575
4.84,1.51776,1.95753
4.85,1.51283,1.95757
4.86,1.50769,1.95759
4.87,1.50302,1.95759
4.88,1.49419,1.95755
4.89,1.48914,1.95751
4.9,1.48868,1.95747
4.91,1.47779,1.95747
4.92,1.47575,1.95751
4.93,1.46501,1.95759
4.94,1.46021,1.95767
4.95,1.45539,1.95772
4.96,1.45265,1.95769
4.97,1.4522,1.95752
4.98,1.4412,1.95663
4.99,1.43934,1.95238
5,1.42841,1.90509
5.01,1.42911,1.85783
5.02,1.42141,1.85617
5.03,1.41591,1.85527
5.04,1.41615,1.85501
5.05,1.40831,1.85492
5.06,1.40379,1.85491
5.07,1.40425,1.85496
5.08,1.39385,1.85504
5.09,1.39185,1.8551
5.1,1.39049,1.85513
5.11,1.38168,1.85511
5.12,1.37963,1.85506
5.13,1.37901,1.85501
5.14,1.37377,1.85499
5.15,1.36865,1.85501
5.16,1.36744,1.85504
5.17,1.36624,1.85508
5.18,1.35745,1.85509
5.19,1.35517,1.85508
5.2,1.35422,1.85505
5.21,1.34333,1.85503
5.22,1.34332,1.85504
5.23,1.34317,1.85508
5.24,1.34044,1.8551
5.25,1.33067,1.85505
5.26,1.33099,1.85481
5.27,1.32998,1.85404
5.28,1.31897,1.85395
5.29,1.31879,1.80711
5.3,1.31861,1.7601
5.31,1.31766,1.75302
5.32,1.30888,1.75235
5.33,1.3063,1.75239
5.34,1.30596,1.75249
5.35,1.30073,1.75256
5.36,1.29571,1.75258
5.37,1.29412,1.75255
5.38,1.29329,1.75251
5.39,1.28459,1.75251
5.4,1.28193,1.75254
5.41,1.28192,1.75259
5.42,1.28218,1.75264
5.43,1.27757,1.75263
5.44,1.27305,1.75258
5.45,1.26982,1.75251
5.46,1.26663,1.75247
5.47,1.26207,1.75248
5.48,1.2574,1.75254
5.49,1.25771,1.75261
5.5,1.25798,1.75266
